PDB,Tem Mutação,Mutações,Mutação no pocket,Missing residues,Posição residuos faltantes,Missing data | Pocket,Número de cadeias: protein.pdb,Global Stoichiometry,Small Molecules,Metals | Pocket,Membrane Protein
3gy4,No,Empty,Empty,Sim,35:36 | 68 | 126 | 131 | 205:208 | 218, Não * ,1,Monomer - A1,CA-1,Não,
3ivg,Yes,2-77,Não sei ,Sim,273:284,Sim,2,Homo 2-mer - A2 ,,,
3jvr,No,Empty,Empty,Sim,18:21 |43:49| 77:78 ,Não,1,Monomer - A1,,,
3jvs,No,Empty,Empty,Sim,18:21 | 42:50 | 77:78 ,Não,1,Monomer - A1 ,,,
3jya,No,Empty,Empty,Sim,Empty,Não,1,Monomer - A1,,,
3k5v,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
3kgp,Yes,121-144,Não sei ,Sim,218,Sim * ,1,Monomer - A1,,,
3kr8,No,Empty,Empty,Sim,112:115,Não,1,Monomer - A1,ZN,Não,
3kwa,No,Empty,Empty,Sim,126,Não,1,Monomer - A1 ,ZN,Sim,
3l7b,No,Empty,Empty,Sim,Chain A (255:260 | 315:324 ) Chain B (255:260 | 315:324 ) ,Não,2,Homo 2-mer - A2 ,"Chain A,B (LLP-680)",,
3lka,Yes,66,Não sei ,Não,Empty,Não,1,Monomer - A1 ,ZN-1 ZN-2 CA-1 CA-2 CA-3 ,Sim,
3mss,No,Empty,Empty,Sim,229:231 | 274:279,Não,1,Monomer - A1 ,,,
3myg,No,Empty,Empty,Sim,281:291,Não,1,Monomer - A1 ,,,
3n76,No,Empty,Empty,Não,Empty,Não,12,Homo 12-mer - A12 ,,,
3n7a,No,Empty,Empty,Sim,21:24,Não,12,Homo 12-mer - A12 ,,,
3n86,No,Empty,Empty,Não,Empty,Não,12,Homo 12-mer - A12,,,
3nq9,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,,,Yes
3nw9,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,MG-1,Sim,
3nx7,Yes,66,Não sei ,Não,Empty,Não,1,Monomer - A1,ZA-1 ZA-2 CA-1 CA-2 CA-3 ,Sim,
3o9i,Yes,7,Não sei ,Não,Empty,Não,2,Homo 2-mer - A2,,,
3oe4,Yes,91-95,Não sei ,Não,Empty,Não,1,Monomer - A1,MG-1,Sim,
3oe5,Yes,91-95,Não sei ,Não,Empty,Não,1,Monomer - A1,MG-1,Sim,
3ozs,Yes,91-95,Não sei,Não,Empty,Não,1,Monomer - A1,MG-1,Sim,
3ozt,Yes,91-95,Não sei,Não,Empty,Não,1,Monomer - A1,MG-1,Sim,
3p5o,No,Empty,Não ,Não,Empty,Não,1,Monomer - A1 ,,,
3prs,No,Empty,Não ,Não,Empty,Não,1,Monomer - A1,,,
3pww,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
3pxf,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
3pyy,No,Empty,Não,Sim,293:297,Não,1,Monomer - A1,,,
3qgy,No,Empty,Não,Sim,503:520,Sim,1,Monomer - A1,,,
3qqs,No,Empty,Não,Não,Empty,Não,1,Homo 2-mer - A2 *,"MG-1, MG-2",Não,
3r88,No,Empty,Não,Sim,332:334,Não,2,Homo 2-mer - A2 ,"MG-1, MG-2, MG-3, MG-4",Não,
3rlr,No,Empty,Não,Não,Empty,Não,1,Monomer - A1 ,,,
3rr4,No,Empty,Não,Sim,Chain A (113|128:130 ) and Chain B (113|128:130),Não,2,Homo 2-mer - A2 ,"ZN-1, ZN-2",Não,
3rsx,Yes,15,Não sei,Sim,258:266 | 272:274,Não,1, Monomer - A1 ,,,
3ryj,No,Empty,Não,Sim,126,Não,1,Monomer - A1,ZN-1,Não,
3syr,No,Empty,Não,Sim,Chain A (252:260| 315:323) and Chain B (252:260| 315:323),Não,2,Homo 2-mer - A2 ,LLP-680,,
3tsk,Yes,67,Não sei,Não,Empty,Não,1,Monomer - A1,ZN-1 ZN-2 CA-1 CA-2 CA-3,Sim,
3twp,No,Empty,Não,Não,Empty,Não,1,Homo 2-mer - A2 * ,"MG-1, MG-2",Não,
3u5j,No,Empty,Não,Não,Empty,Não,1,Monomer - A1 ,,,
3u8k,No,Empty,Não,Sim,Chain B (156:160) Chain C (158:159)  Chain D (156:160)   Chain E (156:158)  ,Não,5,Homo 5-mer - A5 ,,,
3u8n,No,Empty,Não,Sim,Chain A (157:159) | Chain B (156:157) | Chain D (156:158),Não,5,Homo 5-mer - A5 ,,,
3u9q,No,Empty,Não,Sim,263:274,Não,1,Hetero 2-mer - A1B1 *,,,
3udh,No,Empty,Não,Sim,158:164,Não,1,Monomer - A1 ,"FVE -1, ZN-1",Não,
3ueu,No,Empty,Não,Sim,Chain A (110:115) Chain B (110:115),Não * ,2,Homo 2-mer - A2 ,,,
3uev,No,Empty,Não,Sim,Chain A (110:113) Chain B (110:113),Não * ,2,Homo 2-mer - A2,,,
3uew,No,Empty,Não,Sim,Chain A (110:114) Chain B (110:114),Não * ,2,Homo 2-mer - A2,,,
3uex,No,Empty,Não,Sim,Chain A (110:112) Chain B (110:112),Não * ,2,Homo 2-mer - A2,,,
3ui7,No,Empty,Não,Não,Empty,Não,1,Monomer - A1 ,"MG-1, ZN-1",Sim,
3uo4,Yes,165,Não sei,Não,Empty,Não,1,Monomer - A1,,,
3up2,Yes,165,Não sei,Não,Empty,Não,1,Monomer - A1,,,
3uri,No,Empty,Não,Sim,54,Não,1,Hetero 2-mer - A1B1 ,,,
3utu,No,Empty,Não,Não,149:147 | 218,Não,2,Hetero 3-mer - A1B1C1 *,"NA-1, NA-2",Não,
3uuo,No,Empty,Não,Não,Empty,Não,1, Monomer - A1 ,"MG-1, ZN-1",Sim,
3wtj,No,Empty,Não,Não,Empty,Não,2,Homo 5-mer - A5 ,,,
3wz8,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
3zdg,No,Empty,Não,Sim,Chain K (156:160) Chain L (156:160) Chain M (156:160) Chain N (156:162) Chain Q (156:160),Não,5,Homo 5-mer - A5 ,,,
3zso,Yes,11-94-140,Não sei,Sim,Chain A (189:192) Chain B (189:192),Não,2,Homo 2-mer - A2,,,
3zsx,Yes,11-94-140,Não sei,Sim,Chain A (189:192) Chain B (189:192),Não,2,Homo 2-mer - A2,,,
3zt2,Yes,11-94-140,Não sei,Sim,Chain A (189:192) Chain B (189:192),Não,2, Homo 2-mer - A2,,,
4abg,No,Empty,Não,Sim,35:36 | 53 | 68 | 205:208 | 126 | 131 | 218,Não * ,1, Monomer - A1 ,CA -1,Não,
4agn,Yes,40-110-127-146-175,Não sei,Não,Empty,Não,1, Monomer - A1 ,ZN-1,Não,
4agp,Yes,40-110-127-146-175,Não sei,Não,Empty,Não,1, Monomer - A1 ,ZN-1,Não,
4agq,Yes,40-110-127-146-175,Não sei,Não,Empty,Não,1,Monomer - A1,ZN-1,Não,
4bkt,No,Empty,Não,Sim,Chain A (89) | Chain B (48:56) Chain C (77| 143:144),Não,3,Hetero 3-mer - A1B1C1 ,"CAS-1, CAS-2",,
4cig,Yes,127| 110 | 156 ,Não sei,Sim,Chain  A (188:192) Chain  B (188:192) ,Não,2,Homo 2-mer - A2 ,,,
4ciw,No,Empty,Não,Não,Empty,Não,12,Homo 12-mer - A12,(36 x NA) | ,Não,
4cr9,Yes,65 | 68 | 113,Não sei,Sim,Chain A (49:50| 120 | 150| 199:200| 205:208) Chain B (49:50|120| 150 | 199:200 | 205:208),Não,2,Homo 2-mer - A2,,,
4cra,Yes,65 | 68 | 106 | 113,Não sei,Sim,49:50 | 150 | 120 | 199:200| 205:208,Não,1,Monomer - A1,,,
4crc,Yes,65 | 68 | 106 | 113,Não sei,Sim,49:50 | 150 |120 | 199:200| 205:208,Não,1,Monomer - A1 ,,,
4ddh,Yes,2 | 77,Não sei,Sim,Chain B (74:82),Não,2,Homo 2-mer - A2 ,,,
4ddk,Yes,2 | 77,Não sei,Sim,Chain B (76:81),Não,2,Homo 2-mer - A2 ,,,
4de1,No,Empty,Não,Sim,58 | 239 | 253,Não,1,Monomer - A1,PCA,,
4de2,No,Empty,Não,Sim,58 ,Não,1, Monomer - A1 ,,,
4de3,No,Empty,Não,Sim, | 58 | 239 |253 ,Não,1,Monomer - A1,,,
4djv,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
4dld,No,Empty,Não,Não,Empty,Não,2,Homo 2-mer - A2,,,
4dli,No,Empty,Não,Sim,33:34 | 118:119 | 171 : 182 ,Não,1,Monomer - A1,,,
4e5w,No,Empty,Não,Sim,Chain A (912:916 | 947:949) Chain B (912:916 | 947:949),Não,2,Homo 2-mer - A2 ,"PTR-1, PTR-2",,
4e6q,Yes,19 | 97 | 105 |,Não sei,Não,Empty,Não,1,Monomer - A1,"PTR-1, PTR-2",,
4ea2,No,Empty,Não,Sim,53:55,Não,1,Monomer - A1 ,MG,Sim,
4eky,No,Empty,Não,Sim,Chain A (255:260 | 315:323) Chain B (255:260 | 315:323),Não,2,Homo 2-mer - A2 ,,,
4eo8,Yes,336| 345| 551,Não sei,Sim,149:153,Não,1,Monomer - A1,,,
4eor,No,Empty,Não,Sim,Chain A (38:41),Não,2,Hetero 2-mer - A1B1,TPO-1,,
4f09,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,"PTR-1, PTR-2",,
4f2w,No,Empty,Não,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
4f3c,No,Empty,Não,Não,Empty,Não,2,Homo 2-mer - A2,,,
4f9w,No,Empty,Não,Sim,171:183,Sim,1,Monomer - A1 ,ZN-1,Não,
4gfm,No,Empty,Não,Não,Empty,Não,1,Monomer - A,"PTR-1, PTR-2",,
4gid,No,Empty,Não,Não,Empty,Não,1,Monomer - A1 ,,,
4gkm,No,Empty,Não,Não,Empty,Não,2,Homo 2-mer - A2 ,4 x (MG),Não,
4gr0,Yes,67,Não,Não,Empty,Não,1,Monomer - A1 ,2 x (ZN) | 3 x (CA) ,Não,
4hge,No,Empty,Não,Sim,920:923,Não,1, Monomer - A1 ,"PTR-1, PTR-2",,
4ih5,No,Empty,Não,Sim,149:153,Não,1,Monomer - A1 ,,,
4ih7,No,Empty,Não,Sim,149:153,Não,1,Monomer - A1,ZN,Não,
4ivb,No,Empty,Não,Sim,913:917 | 947:950,Não,1,Monomer - A1 ,"PTR-1, PRT-2",,
4ivc,No,Empty,Não,Sim,913:917| 947:950 | ,Não,1,Monomer - A1 ,"PTR-1, PRT-2",,
4ivd,No,Empty,Não,Sim,913:917| 947:950 | ,Não,1,Monomer - A1 ,"PTR-1, PRT-2",,
4j21,,,,,,,,,,,
4j28,No,Empty,Não,Não,Empty,Não,1,Monomer - A1 ,,,
4j3l,No,Empty,Não,Sim,1113:1015,Sim * ,1,Monomer - A1 ,ZN,Não,
4jfs,No,Empty,Não,Não,Empty,Não,1,Monomer - A1 ,,,
4jia,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,"PTR-1, PRT-2",,
4jsz,Yes,94,Não sei,Sim,126,Não,1,Monomer - A1 ,ZN,Não,
4jxs,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
4k18,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
4k77,No,Empty,Não,Sim, 912:216 | 946:949 ,Não,1,Monomer - A1 ,"PTR-1, PRT-2",,
4kz6,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
4kzq,No,Empty,Não,Não,Empty,Não,2,Hetero 2-mer - A1B1 ,ZN,Não,
4kzu,No,Empty,Não,Não,Empty,Não,2,Hetero 2-mer - A1B1 ,ZN,Não,
4llx,No,Empty,Não,Não,Empty,Não,1,Monomer - A1 ,,,
4lzs,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
4m0y,No,Empty,Não,Não,Empty,Não,1,Monomer - A1 ,,,
4m0z,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
4mgd,Yes,240,Não sei,Sim,Chain A (417:418| 462:473) Chain B (462:473),Não,2,Hetero 4-mer - A2B1C1 ,"CSO-1, CSO-2 ",,
4mme,Yes,21-24-254-256-359,Não sei,Sim,132:134,Não,1,Monomer - A1,"NA-1, NA-2",Não,Yes
4ogj,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
4owm,No,Empty,Não,Sim,142:143,Não,2,Homo 2-mer - A2,4 x (MG),Não,
4pcs,No,Empty,Não,Não,Empty,Não,1,Monomer - A1,,,
4qac,No,Empty,Não,Sim,Chain A (156:159) Chain B (157:158) Chain C (156:160) Chain D (156:159) Chain E (156),Não,5,Homo 5-mer - A5,,,
4qd6,Yes,158,Não,Sim,394:398 | 505:520,Não * ,1,Monomer - A1,,,
4rfm,Yes,123-260-263,Não sei,Sim,506:519,Não * ,1,Monomer - A1,,,
4tmn,No,Empty,Não,Não,Empty,Não,2,Monomer - A1 ,8 x CA | 2 x ZN,Sim,
4twp,Yes,83,Não sei,Sim,274:278,Não,1,Monomer - A1 ,"NA-1, NA-2",Não,
4ty7,Yes,104-106,Não sei,Sim,144,Não * ,1,Monomer - A1,,,
4u4s,Yes,94,Não sei,Sim,Chain A (509:631 | 770:771) Chain B (509:631) ,Não,2,Homo 2-mer - A2,,,
4w9c,No,Empty,Não,Sim,Chain A (60 | 89 ) Chain B (44:57) Chain C (77),Não **,3,Hetero 3-mer - A1B1C1,3 x CAS,Não,
4w9h,No,Empty,Não,Sim,Chain A (60 | 89) Chain B (48:57) Chain C (77),Não **,3,Hetero 3-mer - A1B1C1 ,4 x CAS,Não,
4w9i,No,Empty,Não,Sim,Chain A (60 | 89) Chain B (48:57) Chain C (77),Não **,3,Hetero 3-mer - A1B1C1,3 x CAS,Não,
4w9l,No,Empty,Não,Sim,Chain A (60 | 89) Chain B (48:57) Chain C (77),Não **,3,Hetero 3-mer - A1B1C1 ,3 x CAS,Não,
4wiv,No,Empty,Não,Sim,144,Não,1,Monomer - A1,,,
4x6p,Yes,113,Não sei,Sim,144,Não,1,Monomer - A1,,,
5a7b,Yes,40-110-127-146-175,Não sei,Não,Empty,Não,1,Monomer - A1,ZN-1,Não,
5aba,Yes,40-110-127-146-175,Não,Não,Empty,Não,1,Monomer - A,ZN-1,Não,
5c28,No,Empty,Não,Não,Empty,Não,1,Monomer - A,"MG-1, ZN-1",Sim,
5c2h,No,Empty,Não,Não,Empty,Não,1,Monomer - A,"MG-1, ZN-1",Sim,
5dwr,No,Empty,Não,Não,Empty,Não,1,Monomer - A,SEP-1,,
5tmn,No,Empty,Não,Não,Empty,Não,1,Monomer - A,8 x CA | 2 x ZN,Sim,